Time(s),CH1(V),CH2(V),CH3(V)
5.6280E-09,-2.193572E-02,-2.212012E-01,-7.379122E-01
5.7280E-09,-2.193572E-02,-2.212012E-01,-7.205495E-01
5.8280E-09,-4.387144E-02,-2.212012E-01,-7.031869E-01
5.9280E-09,-4.387144E-02,-1.990811E-01,-6.945056E-01
6.0280E-09,-4.387144E-02,-1.990811E-01,-6.858243E-01
6.1280E-09,-4.387144E-02,-1.990811E-01,-6.771429E-01
6.2280E-09,-4.387144E-02,-1.990811E-01,-6.771429E-01
6.3280E-09,-4.387144E-02,-1.990811E-01,-6.771429E-01
6.4280E-09,-4.387144E-02,-1.990811E-01,-6.771429E-01
6.5280E-09,-4.387144E-02,-1.990811E-01,-6.858243E-01
6.6280E-09,-4.387144E-02,-1.990811E-01,-6.945056E-01
6.7280E-09,-4.387144E-02,-1.990811E-01,-7.031869E-01
6.8280E-09,-4.387144E-02,-1.990811E-01,-7.118682E-01
6.9280E-09,-4.387144E-02,-1.990811E-01,-7.205495E-01
7.0280E-09,-4.387144E-02,-1.769610E-01,-7.292309E-01
7.1280E-09,-4.387144E-02,-1.769610E-01,-7.379122E-01
7.2280E-09,-4.387144E-02,-1.769610E-01,-7.465935E-01
7.3280E-09,-4.387144E-02,-1.769610E-01,-7.465935E-01
7.4280E-09,-4.387144E-02,-1.769610E-01,-7.552748E-01
7.5280E-09,-2.193572E-02,-1.769610E-01,-7.639561E-01
7.6280E-09,-2.193572E-02,-1.769610E-01,-7.726374E-01
7.7280E-09,-2.193572E-02,-1.769610E-01,-7.813188E-01
7.8280E-09,-2.193572E-02,-1.769610E-01,-7.900001E-01
7.9280E-09,-2.193572E-02,-1.769610E-01,-7.986814E-01
8.0280E-09,-2.193572E-02,-1.769610E-01,-8.073627E-01
8.1280E-09,-2.193572E-02,-1.769610E-01,-8.160440E-01
8.2280E-09,-2.193572E-02,-1.769610E-01,-8.247254E-01
8.3280E-09,-2.193572E-02,-1.769610E-01,-8.334067E-01
8.4280E-09,-2.193572E-02,-1.769610E-01,-8.420880E-01
8.5280E-09,-2.193572E-02,-1.769610E-01,-8.420880E-01
8.6280E-09,-2.193572E-02,-1.769610E-01,-8.420880E-01
8.7280E-09,-2.193572E-02,-1.769610E-01,-8.507693E-01
8.8280E-09,-2.193572E-02,-1.769610E-01,-8.507693E-01
8.9280E-09,-2.193572E-02,-1.769610E-01,-8.420880E-01
9.0280E-09,-2.193572E-02,-1.548408E-01,-8.420880E-01
9.1280E-09,-2.193572E-02,-1.548408E-01,-8.420880E-01
9.2280E-09,-2.193572E-02,-1.548408E-01,-8.420880E-01
9.3280E-09,-2.193572E-02,-1.327207E-01,-8.420880E-01
9.4280E-09,-2.193572E-02,-1.327207E-01,-8.420880E-01
9.5280E-09,-2.193572E-02,-1.106006E-01,-8.420880E-01
9.6280E-09,-2.193572E-02,-1.106006E-01,-8.420880E-01
9.7280E-09,-2.193572E-02,-1.106006E-01,-8.420880E-01
9.8280E-09,-2.193572E-02,-1.106006E-01,-8.420880E-01
9.9280E-09,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.0028E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.0128E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.0228E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.0328E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.0428E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.0528E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.0628E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.0728E-08,-2.193572E-02,-8.848048E-02,-8.594506E-01
1.0828E-08,-2.193572E-02,-8.848048E-02,-8.594506E-01
1.0928E-08,-2.193572E-02,-8.848048E-02,-8.681320E-01
1.1028E-08,-2.193572E-02,-8.848048E-02,-8.681320E-01
1.1128E-08,-2.193572E-02,-8.848048E-02,-8.681320E-01
1.1228E-08,-2.193572E-02,-8.848048E-02,-8.768133E-01
1.1328E-08,-2.193572E-02,-8.848048E-02,-8.768133E-01
1.1428E-08,-2.193572E-02,-8.848048E-02,-8.854946E-01
1.1528E-08,-2.193572E-02,-8.848048E-02,-8.854946E-01
1.1628E-08,-2.193572E-02,-8.848048E-02,-8.854946E-01
1.1728E-08,-2.193572E-02,-8.848048E-02,-8.854946E-01
1.1828E-08,-2.193572E-02,-8.848048E-02,-8.854946E-01
1.1928E-08,-2.193572E-02,-8.848048E-02,-8.854946E-01
1.2028E-08,-2.193572E-02,-8.848048E-02,-8.854946E-01
1.2128E-08,-2.193572E-02,-8.848048E-02,-8.768133E-01
1.2228E-08,-2.193572E-02,-8.848048E-02,-8.681320E-01
1.2328E-08,-2.193572E-02,-8.848048E-02,-8.681320E-01
1.2428E-08,-2.193572E-02,-8.848048E-02,-8.594506E-01
1.2528E-08,-2.193572E-02,-8.848048E-02,-8.594506E-01
1.2628E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.2728E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.2828E-08,-2.193572E-02,-1.106006E-01,-8.420880E-01
1.2928E-08,-2.193572E-02,-1.106006E-01,-8.420880E-01
1.3028E-08,-2.193572E-02,-1.106006E-01,-8.334067E-01
1.3128E-08,-2.193572E-02,-1.106006E-01,-8.334067E-01
1.3228E-08,-2.193572E-02,-1.106006E-01,-8.334067E-01
1.3328E-08,-2.193572E-02,-1.327207E-01,-8.247254E-01
1.3428E-08,-2.193572E-02,-1.106006E-01,-8.247254E-01
1.3528E-08,-2.193572E-02,-1.106006E-01,-8.160440E-01
1.3628E-08,-2.193572E-02,-1.106006E-01,-8.160440E-01
1.3728E-08,-2.193572E-02,-1.106006E-01,-8.160440E-01
1.3828E-08,-2.193572E-02,-1.106006E-01,-8.160440E-01
